playerKey,nameFirst,nameLast,weight,height,debut,BMI
360,Chuck,Wortman,150,67,1916,23.49075518
361,Frank,Smykal,150,67,1916,23.49075518
362,Jigger,Statz,150,67,1919,23.49075518
363,Lyman,Lamb,150,67,1920,23.49075518
364,Rabbit,Benton,150,67,1922,23.49075518
365,Pee-Wee,Wanninger,150,67,1925,23.49075518
366,Jack,White,150,67,1927,23.49075518
367,Eddie,Kenna,150,67,1928,23.49075518
368,Rabbit,Warstler,150,67,1930,23.49075518
369,Ray,Treadaway,150,67,1930,23.49075518
370,Ray,Cunningham,150,67,1931,23.49075518
371,Eddie,Hunter,150,67,1933,23.49075518
372,Charlie,Uhlir,150,67,1934,23.49075518
373,Amby,Murray,150,67,1936,23.49075518
374,Don,Nicholas,150,67,1952,23.49075518
375,Vic,Davalillo,150,67,1963,23.49075518
376,Harry,Chappas,150,67,1978,23.49075518
377,Bip,Roberts,150,67,1986,23.49075518
378,Joey,Cora,150,67,1987,23.49075518
379,Doug,Dascenzo,150,67,1988,23.49075518
380,Ramon,Caraballo,150,67,1993,23.49075518
381,Ricky,Otero,150,67,1995,23.49075518
382,Art,Allison,150,68,1871,22.8049308
383,Asa,Brainard,150,68,1871,22.8049308
384,Jimmy,Wood,150,68,1871,22.8049308
385,Bill,Parks,150,68,1875,22.8049308
386,Ed,Cogswell,150,68,1879,22.8049308
387,Arlie,Latham,150,68,1880,22.8049308
388,Leech,Maskrey,150,68,1882,22.8049308
389,Myron,Allen,150,68,1883,22.8049308
390,Frank,Zinn,150,68,1888,22.8049308
391,Joe,Dowie,150,68,1889,22.8049308
392,Bill,Day,150,68,1889,22.8049308
393,Will,Calihan,150,68,1890,22.8049308
394,George,Ziegler,150,68,1890,22.8049308
395,Charles,Snyder,150,68,1890,22.8049308
396,Jesse,Tannehill,150,68,1894,22.8049308
397,Brownie,Foreman,150,68,1895,22.8049308
398,Zeke,Wrigley,150,68,1896,22.8049308
399,Paddy,Greene,150,68,1902,22.8049308
400,Ernie,Ross,150,68,1902,22.8049308
401,Champ,Osteen,150,68,1903,22.8049308
402,Chick,Robitaille,150,68,1904,22.8049308
403,Slow Joe,Doyle,150,68,1906,22.8049308
404,Howard,Murphy,150,68,1909,22.8049308
405,Fred,Liese,150,68,1910,22.8049308
406,Art,Thomason,150,68,1910,22.8049308
407,Ona,Dodd,150,68,1912,22.8049308
408,Al,Bashang,150,68,1912,22.8049308
409,Art,Schwind,150,68,1912,22.8049308
410,John,Misse,150,68,1914,22.8049308
411,Frank,Emmer,150,68,1916,22.8049308
412,Roy,Grover,150,68,1916,22.8049308
413,Bunny,Fabrique,150,68,1916,22.8049308
414,Jose,Rodriguez,150,68,1916,22.8049308
415,Jake,Pitler,150,68,1917,22.8049308
416,Harry,Thompson,150,68,1919,22.8049308
417,Denny,Williams,150,68,1921,22.8049308
418,Sam,Barnes,150,68,1921,22.8049308
419,Jake,Freeze,150,68,1925,22.8049308
420,Fresco,Thompson,150,68,1925,22.8049308
421,Ski,Melillo,150,68,1926,22.8049308
422,Jim,Walkup,150,68,1927,22.8049308
423,Sal,Gliatto,150,68,1930,22.8049308
424,Dario,Lodigiani,150,68,1938,22.8049308
425,Angel,Bravo,150,68,1969,22.8049308
426,Rimp,Lanier,150,68,1971,22.8049308
427,Danny,Boone,150,68,1981,22.8049308
428,John,Cangelosi,150,68,1985,22.8049308
429,Giomar,Guevara,150,68,1997,22.8049308
430,George,Wright,150,69,1871,22.14870825
431,George,Bird,150,69,1871,22.14870825
432,Dick,McBride,150,69,1871,22.14870825
433,Will,Foley,150,69,1875,22.14870825
434,Walter,Prince,150,69,1883,22.14870825
435,Tim,Shinnick,150,69,1890,22.14870825
436,Henry,Killeen,150,69,1891,22.14870825
437,George,Flynn,150,69,1896,22.14870825
438,Joe,Stanley,150,69,1897,22.14870825
439,Ray,Nelson,150,69,1901,22.14870825
440,Lew,Ritter,150,69,1902,22.14870825
441,Jim,Wallace,150,69,1905,22.14870825
442,Jim,Byrnes,150,69,1906,22.14870825
443,Tony,Smith,150,69,1907,22.14870825
444,Charlie,Johnson,150,69,1908,22.14870825
445,Bobby,Vaughn,150,69,1909,22.14870825
446,Alex,McCarthy,150,69,1910,22.14870825
447,Chief,Chouneau,150,69,1910,22.14870825
448,Milt,Reed,150,69,1911,22.14870825
449,Tex,Wisterzil,150,69,1914,22.14870825
450,Herold,Juul,150,69,1914,22.14870825
451,Ike,McAuley,150,69,1914,22.14870825
452,Muddy,Ruel,150,69,1915,22.14870825
453,Sam,Rice,150,69,1915,22.14870825
454,Charlie,Jackson,150,69,1915,22.14870825
455,Cy,Wright,150,69,1916,22.14870825
456,Ivan,Bigler,150,69,1917,22.14870825
457,Dud,Lee,150,69,1920,22.14870825
458,George,Lees,150,69,1921,22.14870825
459,Topper,Rigney,150,69,1922,22.14870825
460,Chick,Maynard,150,69,1922,22.14870825
461,Frank,McCue,150,69,1922,22.14870825
462,Pete,Rambo,150,69,1926,22.14870825
463,Lloyd,Waner,150,69,1927,22.14870825
464,Bernie,James,150,69,1929,22.14870825
465,Bud,Morse,150,69,1929,22.14870825
466,Skeeter,Webb,150,69,1932,22.14870825
467,Joe,Cleary,150,69,1945,22.14870825
468,Jim,Clark,150,69,1948,22.14870825
469,Tony,Jacobs,150,69,1948,22.14870825
470,Willy,Miranda,150,69,1951,22.14870825
471,Sonny,Jackson,150,69,1963,22.14870825
472,Gil,Garrido,150,69,1964,22.14870825
473,Milt,Ramirez,150,69,1970,22.14870825
474,Rudy,Hernandez,150,69,1972,22.14870825
475,Larry,Lintz,150,69,1973,22.14870825
476,Luis,Gomez,150,69,1974,22.14870825
477,Steve,Staggs,150,69,1977,22.14870825
478,Glenn,Hubbard,150,69,1978,22.14870825
479,Tony,Bernazard,150,69,1979,22.14870825
480,Charlie,Smith,150,70,1871,21.52040816
481,Andy,Allison,150,70,1872,21.52040816
482,John,McGuinness,150,70,1876,21.52040816
483,Charley,Bassett,150,70,1884,21.52040816
484,Park,Swartzel,150,70,1889,21.52040816
485,Spider,Clark,150,70,1889,21.52040816
486,Jim,Powers,150,70,1890,21.52040816
487,Bobby,Lowe,150,70,1890,21.52040816
488,Tom,Nagle,150,70,1890,21.52040816
489,George,Stultz,150,70,1894,21.52040816
490,Bill,Carrick,150,70,1898,21.52040816
491,Mike,Hickey,150,70,1899,21.52040816
492,Curt,Bernard,150,70,1900,21.52040816
493,Walter,Clarkson,150,70,1904,21.52040816
494,Billy,Kelsey,150,70,1907,21.52040816
495,Red,Booles,150,70,1909,21.52040816
496,Wingo,Anderson,150,70,1910,21.52040816
497,Ossie,Vitt,150,70,1912,21.52040816
498,Bill,Leinhauser,150,70,1912,21.52040816
499,Bill,Otis,150,70,1912,21.52040816
500,Ferdie,Schupp,150,70,1913,21.52040816
501,Buzzy,Wares,150,70,1913,21.52040816
502,Al,Cypert,150,70,1914,21.52040816
503,Lee,King,150,70,1916,21.52040816
504,Adam,DeBus,150,70,1917,21.52040816
505,Marty,Herrmann,150,70,1918,21.52040816
506,Hal,Haid,150,70,1919,21.52040816
507,Leo,Taylor,150,70,1923,21.52040816
508,Doc,Wood,150,70,1923,21.52040816
509,Hod,Kibbie,150,70,1925,21.52040816
510,Paul,Hinson,150,70,1928,21.52040816
511,Jim,Cronin,150,70,1929,21.52040816
512,Spades,Wood,150,70,1930,21.52040816
513,Buck,Stanton,150,70,1931,21.52040816
514,Lyle,Judy,150,70,1935,21.52040816
515,Charlie,Letchas,150,70,1939,21.52040816
516,Billy,Cox,150,70,1941,21.52040816
517,Heinie,Heltzel,150,70,1943,21.52040816
518,Frankie,Zak,150,70,1944,21.52040816
519,John,Fick,150,70,1944,21.52040816
520,Harry,MacPherson,150,70,1944,21.52040816
521,Jackie,Price,150,70,1946,21.52040816
522,Jose,Cardenal,150,70,1963,21.52040816
523,Darrell,Jackson,150,70,1978,21.52040816
524,Curt,Ford,150,70,1985,21.52040816
525,Dave,Martinez,150,70,1986,21.52040816
526,Manny,Alexander,150,70,1992,21.52040816
527,Victor,Alvarez,150,70,2002,21.52040816
528,Dilson,Herrera,150,70,2014,21.52040816
529,Ronald,Torreyes,150,70,2015,21.52040816
530,Lev,Shreve,150,71,1887,20.91846856
531,Charlie,Sprague,150,71,1887,20.91846856
532,Billy,Clingman,150,71,1890,20.91846856
533,Bill,Yerrick,150,71,1895,20.91846856
534,Roy,Thomas,150,71,1899,20.91846856
535,Lew,Moren,150,71,1903,20.91846856
536,Herb,Juul,150,71,1911,20.91846856
537,John,Quinn,150,71,1911,20.91846856
538,John,Kelleher,150,71,1912,20.91846856
539,Mike,McNally,150,71,1915,20.91846856
540,Fred,Bailey,150,71,1916,20.91846856
541,Emmet,McCann,150,71,1920,20.91846856
542,Cy,Fried,150,71,1920,20.91846856
543,Bob,Barnes,150,71,1924,20.91846856
544,Herb,Cobb,150,71,1929,20.91846856
545,Doc,Marshall,150,71,1929,20.91846856
546,Julio,Gonzalez,150,71,1949,20.91846856
547,Manny,Montejo,150,71,1961,20.91846856
548,Juan,Beniquez,150,71,1971,20.91846856
549,Ozzie,Smith,150,71,1978,20.91846856
550,Ozzie,Guillen,150,71,1985,20.91846856
551,Salomon,Torres,150,71,1993,20.91846856
552,John,Sowders,150,72,1887,20.34143519
553,Ernie,Mason,150,72,1894,20.34143519
554,Orth,Collins,150,72,1904,20.34143519
555,Gene,Paulette,150,72,1911,20.34143519
556,Pat,Maloney,150,72,1912,20.34143519
557,Walt,Huntzinger,150,72,1923,20.34143519
558,Bobby,Burke,150,72,1927,20.34143519
559,Jose,Zardon,150,72,1945,20.34143519
560,Raul,Sanchez,150,72,1952,20.34143519
561,Tom,Hall,150,72,1968,20.34143519
562,Manny,Hernandez,150,72,1986,20.34143519
563,Ramon,Manon,150,72,1990,20.34143519
